/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=0, top10p_weight=0.02142, time=1.8
iter=1, top10p_weight=0.00887, time=1.93
iter=2, top10p_weight=0.01876, time=2.08
iter=3, top10p_weight=0.0291, time=1.93
iter=4, top10p_weight=0.02279, time=2.04
iter=5, top10p_weight=0.03865, time=1.93
iter=6, top10p_weight=0.02896, time=1.93
iter=7, top10p_weight=0.04081, time=1.94
iter=8, top10p_weight=0.04056, time=1.94
iter=9, top10p_weight=0.07296, time=2.05
iter=10, top10p_weight=0.07224, time=2.18
iter=11, top10p_weight=0.06082, time=2.25
iter=12, top10p_weight=0.05402, time=2.34
iter=13, top10p_weight=0.05597, time=2.43
iter=14, top10p_weight=0.06661, time=2.73
iter=15, top10p_weight=0.08725, time=2.84
iter=16, top10p_weight=0.0709, time=2.73
iter=17, top10p_weight=0.09196, time=2.75
iter=18, top10p_weight=0.09029, time=2.74
iter=19, top10p_weight=0.07442, time=2.75
iter=20, top10p_weight=0.04751, time=2.85
iter=21, top10p_weight=0.06662, time=2.75
iter=22, top10p_weight=0.0792, time=2.97
iter=23, top10p_weight=0.05487, time=2.67
iter=24, top10p_weight=0.07482, time=2.54
iter=25, top10p_weight=0.06066, time=2.57
iter=26, top10p_weight=0.05999, time=2.45
iter=27, top10p_weight=0.06298, time=2.47
iter=28, top10p_weight=0.05683, time=2.25
iter=29, top10p_weight=0.05119, time=2.25
iter=30, top10p_weight=0.06271, time=2.25
iter=31, top10p_weight=0.0758, time=2.19
iter=32, top10p_weight=0.06597, time=2.16
iter=33, top10p_weight=0.07374, time=2.15
iter=34, top10p_weight=0.005801, time=2.13
iter=35, top10p_weight=0.07149, time=2.15
iter=36, top10p_weight=0.08414, time=2.13
iter=37, top10p_weight=0.07271, time=2.07
iter=38, top10p_weight=0.0824, time=2.15
iter=39, top10p_weight=0.07383, time=2.1
iter=40, top10p_weight=0.07989, time=2.15
iter=41, top10p_weight=0.06887, time=2.15
iter=42, top10p_weight=0.09224, time=2.13
iter=43, top10p_weight=0.07445, time=2.13
iter=44, top10p_weight=0.07969, time=2.13
iter=45, top10p_weight=0.06866, time=2.14
iter=46, top10p_weight=0.06827, time=2.16
iter=47, top10p_weight=0.07617, time=2.16
iter=48, top10p_weight=0.0908, time=2.07
iter=49, top10p_weight=0.08553, time=2.15
iter=50, top10p_weight=0.08581, time=2.13
iter=51, top10p_weight=0.06774, time=2.26
iter=52, top10p_weight=0.0784, time=2.14
iter=53, top10p_weight=0.07554, time=2.14
iter=54, top10p_weight=0.0704, time=2.12
iter=55, top10p_weight=0.07077, time=2.28
iter=56, top10p_weight=0.06446, time=2.08
iter=57, top10p_weight=0.05522, time=2.12
iter=58, top10p_weight=0.03525, time=2.07
iter=59, top10p_weight=0.05457, time=2.1
iter=60, top10p_weight=0.05598, time=2.0
iter=61, top10p_weight=0.04067, time=1.98
iter=62, top10p_weight=0.04778, time=1.93
iter=63, top10p_weight=0.04991, time=1.85
iter=64, top10p_weight=0.04151, time=2.05
iter=65, top10p_weight=0.05407, time=1.81
iter=66, top10p_weight=0.06362, time=1.83
iter=67, top10p_weight=0.07597, time=1.68
iter=68, top10p_weight=0.07704, time=1.69
iter=69, top10p_weight=0.009847, time=1.6
iter=70, top10p_weight=0.05866, time=1.65
iter=71, top10p_weight=0.06073, time=1.58
iter=72, top10p_weight=0.0539, time=1.52
iter=73, top10p_weight=0.05945, time=1.53
iter=74, top10p_weight=0.06956, time=1.52
iter=75, top10p_weight=0.08144, time=1.48
iter=76, top10p_weight=0.05804, time=1.47
iter=77, top10p_weight=0.003484, time=1.59
iter=78, top10p_weight=0.07555, time=1.63
iter=79, top10p_weight=0.07758, time=1.5
iter=80, top10p_weight=0.06978, time=1.47
iter=81, top10p_weight=0.05005, time=1.41
iter=82, top10p_weight=0.06971, time=1.48
iter=83, top10p_weight=0.06446, time=1.39
iter=84, top10p_weight=0.06886, time=1.43
iter=85, top10p_weight=0.06779, time=1.4
iter=86, top10p_weight=0.06126, time=1.46
iter=87, top10p_weight=0.06865, time=1.5
iter=88, top10p_weight=0.06715, time=1.58
iter=89, top10p_weight=0.06071, time=1.65
iter=90, top10p_weight=0.06908, time=1.73
iter=91, top10p_weight=0.06592, time=1.7
iter=92, top10p_weight=0.05139, time=1.73
iter=93, top10p_weight=0.07634, time=1.91
iter=94, top10p_weight=0.06573, time=1.95
iter=95, top10p_weight=0.06333, time=1.8
iter=96, top10p_weight=0.08133, time=1.9
iter=97, top10p_weight=0.08043, time=1.76
iter=98, top10p_weight=0.07426, time=1.71
iter=99, top10p_weight=0.05998, time=1.7
iter=100, top10p_weight=0.07489, time=1.88
iter=101, top10p_weight=0.06418, time=1.9
iter=102, top10p_weight=0.002092, time=1.63
iter=103, top10p_weight=0.05466, time=1.81
iter=104, top10p_weight=0.07812, time=1.78
iter=105, top10p_weight=0.07815, time=1.63
iter=106, top10p_weight=0.08326, time=1.8
iter=107, top10p_weight=0.06172, time=1.58
iter=108, top10p_weight=0.07654, time=1.65
iter=109, top10p_weight=0.003977, time=1.85
iter=110, top10p_weight=0.05755, time=1.7
iter=111, top10p_weight=0.08096, time=1.77
iter=112, top10p_weight=0.04855, time=1.98
iter=113, top10p_weight=0.06312, time=1.8
iter=114, top10p_weight=0.05358, time=1.83
iter=115, top10p_weight=0.06401, time=2.12
iter=116, top10p_weight=0.06361, time=1.88
iter=117, top10p_weight=0.06397, time=1.95
iter=118, top10p_weight=0.06361, time=1.88
iter=119, top10p_weight=0.07098, time=2.05
iter=120, top10p_weight=0.04725, time=1.93
iter=121, top10p_weight=0.08137, time=2.09
iter=122, top10p_weight=0.06254, time=1.96
iter=123, top10p_weight=0.07557, time=1.92
iter=124, top10p_weight=0.07751, time=1.95
iter=125, top10p_weight=0.07036, time=1.93
iter=126, top10p_weight=0.06394, time=1.9
iter=127, top10p_weight=0.06148, time=1.85
iter=128, top10p_weight=0.07368, time=1.92
iter=129, top10p_weight=0.07617, time=1.85
iter=130, top10p_weight=0.0008937, time=2.24
iter=131, top10p_weight=0.08101, time=2.51
iter=132, top10p_weight=0.07199, time=2.62
iter=133, top10p_weight=0.08432, time=2.49
iter=134, top10p_weight=0.079, time=2.63
iter=135, top10p_weight=0.08311, time=2.55
iter=136, top10p_weight=0.06553, time=2.69
iter=137, top10p_weight=0.09835, time=2.55
iter=138, top10p_weight=0.08362, time=2.72
iter=139, top10p_weight=0.07048, time=2.65
iter=140, top10p_weight=0.06956, time=2.69
iter=141, top10p_weight=0.05744, time=2.72
iter=142, top10p_weight=0.06401, time=2.74
iter=143, top10p_weight=0.07104, time=2.54
iter=144, top10p_weight=0.05354, time=2.82
iter=145, top10p_weight=0.06739, time=2.88
iter=146, top10p_weight=0.06993, time=2.62
iter=147, top10p_weight=0.06716, time=2.85
iter=148, top10p_weight=0.05785, time=2.65
iter=149, top10p_weight=0.06939, time=2.7
iter=150, top10p_weight=0.07936, time=2.75
iter=151, top10p_weight=0.06415, time=2.58
iter=152, top10p_weight=0.0699, time=2.4
iter=153, top10p_weight=0.07264, time=2.5
iter=154, top10p_weight=0.04738, time=2.36
iter=155, top10p_weight=0.06502, time=2.56
iter=156, top10p_weight=0.06881, time=2.66
iter=157, top10p_weight=0.06964, time=2.37
iter=158, top10p_weight=0.07386, time=2.32
iter=159, top10p_weight=0.06971, time=2.37
iter=160, top10p_weight=0.07563, time=2.58
iter=161, top10p_weight=0.07043, time=2.35
iter=162, top10p_weight=0.07377, time=2.43
iter=163, top10p_weight=0.07102, time=2.4
iter=164, top10p_weight=0.06231, time=2.48
iter=165, top10p_weight=0.09046, time=2.77
iter=166, top10p_weight=0.07705, time=2.82
iter=167, top10p_weight=0.0904, time=2.62
iter=168, top10p_weight=0.06669, time=2.46
iter=169, top10p_weight=0.0823, time=2.5
iter=170, top10p_weight=0.08903, time=2.63
iter=171, top10p_weight=0.08125, time=2.71
iter=172, top10p_weight=0.07148, time=2.77
iter=173, top10p_weight=0.07806, time=3.1
iter=174, top10p_weight=0.07194, time=2.98
iter=175, top10p_weight=0.06926, time=2.7
iter=176, top10p_weight=0.08491, time=2.68
iter=177, top10p_weight=0.08416, time=2.89
iter=178, top10p_weight=0.06696, time=2.6
iter=179, top10p_weight=0.06832, time=2.74
iter=180, top10p_weight=0.07817, time=2.68
iter=181, top10p_weight=0.0863, time=2.69
iter=182, top10p_weight=0.08182, time=2.67
iter=183, top10p_weight=0.06253, time=2.61
iter=184, top10p_weight=0.07067, time=2.95
iter=185, top10p_weight=0.07931, time=3.06
iter=186, top10p_weight=0.07219, time=2.85
iter=187, top10p_weight=0.06983, time=2.75
iter=188, top10p_weight=0.05319, time=2.77
iter=189, top10p_weight=0.06368, time=2.81
iter=190, top10p_weight=0.08676, time=2.84
iter=191, top10p_weight=0.08978, time=3.03
iter=192, top10p_weight=0.05881, time=2.81
iter=193, top10p_weight=0.05781, time=2.87
iter=194, top10p_weight=0.06348, time=3.15
iter=195, top10p_weight=0.08571, time=3.11
iter=196, top10p_weight=0.07907, time=3.11
iter=197, top10p_weight=0.0653, time=2.96
iter=198, top10p_weight=0.08277, time=2.9
iter=199, top10p_weight=0.09014, time=2.77
iter=200, top10p_weight=0.08704, time=2.73
iter=201, top10p_weight=0.06052, time=2.84
iter=202, top10p_weight=0.07501, time=2.95
iter=203, top10p_weight=0.06969, time=2.97
iter=204, top10p_weight=0.09216, time=2.98
iter=205, top10p_weight=0.07603, time=3.03
iter=206, top10p_weight=0.0761, time=3.17
