/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=0, top_10p_weight=0.5677, time=1.95
iter=1, top_10p_weight=0.7797, time=2.09
iter=2, top_10p_weight=0.8522, time=1.96
iter=3, top_10p_weight=0.8083, time=1.91
iter=4, top_10p_weight=0.7759, time=1.95
iter=5, top_10p_weight=0.8517, time=2.0
iter=6, top_10p_weight=0.8551, time=2.05
iter=7, top_10p_weight=0.8376, time=2.07
iter=8, top_10p_weight=0.8938, time=2.02
iter=9, top_10p_weight=0.8243, time=2.07
iter=10, top_10p_weight=0.8583, time=2.1
iter=11, top_10p_weight=0.8584, time=2.13
iter=12, top_10p_weight=0.8407, time=2.19
iter=13, top_10p_weight=0.8674, time=2.23
iter=14, top_10p_weight=0.8394, time=2.26
iter=15, top_10p_weight=0.7284, time=2.32
iter=16, top_10p_weight=0.805, time=2.35
iter=17, top_10p_weight=0.8506, time=2.42
iter=18, top_10p_weight=0.8359, time=2.55
iter=19, top_10p_weight=0.8012, time=2.6
iter=20, top_10p_weight=0.8588, time=2.57
iter=21, top_10p_weight=0.8797, time=2.7
iter=22, top_10p_weight=0.8632, time=2.72
iter=23, top_10p_weight=0.7812, time=2.78
iter=24, top_10p_weight=0.7778, time=2.72
iter=25, top_10p_weight=0.7803, time=2.86
iter=26, top_10p_weight=0.8719, time=2.89
iter=27, top_10p_weight=0.8299, time=2.96
iter=28, top_10p_weight=0.8307, time=2.98
iter=29, top_10p_weight=0.6047, time=3.01
iter=30, top_10p_weight=0.9101, time=3.08
iter=31, top_10p_weight=0.8693, time=3.12
iter=32, top_10p_weight=0.7965, time=3.23
iter=33, top_10p_weight=0.9317, time=3.32
iter=34, top_10p_weight=0.9463, time=3.35
iter=35, top_10p_weight=0.8991, time=3.5
iter=36, top_10p_weight=0.965, time=3.65
iter=37, top_10p_weight=0.9659, time=3.7
iter=38, top_10p_weight=0.9353, time=3.85
iter=39, top_10p_weight=0.9864, time=3.95
iter=40, top_10p_weight=0.9418, time=4.1
iter=41, top_10p_weight=0.9492, time=4.25
iter=42, top_10p_weight=0.9689, time=4.28
iter=43, top_10p_weight=0.9614, time=4.55
iter=44, top_10p_weight=0.9155, time=4.57
iter=45, top_10p_weight=0.9748, time=4.57
iter=46, top_10p_weight=0.9874, time=4.67
iter=47, top_10p_weight=0.9288, time=4.72
iter=48, top_10p_weight=0.996, time=4.8
iter=49, top_10p_weight=0.9931, time=4.95
iter=50, top_10p_weight=1.0, time=5.04
iter=51, top_10p_weight=1.0, time=4.97
iter=52, top_10p_weight=0.9855, time=5.02
iter=53, top_10p_weight=0.8475, time=4.95
iter=54, top_10p_weight=0.9564, time=5.08
iter=55, top_10p_weight=0.795, time=5.13
iter=56, top_10p_weight=0.727, time=5.15
iter=57, top_10p_weight=0.8167, time=5.25
iter=58, top_10p_weight=0.7661, time=5.32
iter=59, top_10p_weight=0.927, time=5.3
iter=60, top_10p_weight=0.9268, time=5.37
iter=61, top_10p_weight=0.9655, time=5.43
iter=62, top_10p_weight=0.9465, time=5.41
iter=63, top_10p_weight=0.948, time=5.49
iter=64, top_10p_weight=0.9193, time=5.52
iter=65, top_10p_weight=0.9224, time=5.7
iter=66, top_10p_weight=0.8747, time=5.67
iter=67, top_10p_weight=0.9909, time=5.75
iter=68, top_10p_weight=0.8436, time=6.03
iter=69, top_10p_weight=0.9198, time=5.77
iter=70, top_10p_weight=0.9343, time=5.91
iter=71, top_10p_weight=0.8751, time=5.74
iter=72, top_10p_weight=0.9355, time=6.02
iter=73, top_10p_weight=0.7951, time=5.92
iter=74, top_10p_weight=0.6007, time=6.15
iter=75, top_10p_weight=0.5471, time=6.23
iter=76, top_10p_weight=0.6877, time=6.0
iter=77, top_10p_weight=0.7456, time=5.97
iter=78, top_10p_weight=0.7049, time=5.8
iter=79, top_10p_weight=0.5934, time=5.98
iter=80, top_10p_weight=0.7919, time=5.77
iter=81, top_10p_weight=0.9088, time=6.07
iter=82, top_10p_weight=0.68, time=5.88
iter=83, top_10p_weight=0.906, time=6.05
iter=84, top_10p_weight=0.9053, time=6.09
iter=85, top_10p_weight=0.8762, time=6.06
iter=86, top_10p_weight=0.8919, time=6.24
iter=87, top_10p_weight=0.8454, time=6.22
iter=88, top_10p_weight=0.959, time=6.33
iter=89, top_10p_weight=0.7974, time=6.73
iter=90, top_10p_weight=0.9925, time=6.56
iter=91, top_10p_weight=0.9957, time=6.58
iter=92, top_10p_weight=0.9369, time=6.57
iter=93, top_10p_weight=0.9867, time=6.62
iter=94, top_10p_weight=0.8991, time=6.69
iter=95, top_10p_weight=0.8886, time=7.09
iter=96, top_10p_weight=0.8636, time=7.31
iter=97, top_10p_weight=0.8742, time=7.4
iter=98, top_10p_weight=0.458, time=7.57
iter=99, top_10p_weight=0.707, time=7.62
iter=100, top_10p_weight=0.5782, time=7.53
iter=101, top_10p_weight=0.4448, time=7.49
iter=102, top_10p_weight=0.6455, time=7.55
iter=103, top_10p_weight=0.3198, time=7.53
iter=104, top_10p_weight=0.7632, time=7.68
