/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=0, top10p_weight=0.02565, time=1.81
iter=1, top10p_weight=0.02777, time=1.87
iter=2, top10p_weight=0.04886, time=1.73
iter=3, top10p_weight=0.05453, time=1.74
iter=4, top10p_weight=0.03973, time=1.63
iter=5, top10p_weight=0.04728, time=1.64
iter=6, top10p_weight=0.05168, time=1.63
iter=7, top10p_weight=0.0473, time=1.63
iter=8, top10p_weight=0.06765, time=1.64
iter=9, top10p_weight=0.002537, time=1.63
iter=10, top10p_weight=0.0637, time=1.51
iter=11, top10p_weight=0.06364, time=1.64
iter=12, top10p_weight=0.05616, time=1.65
iter=13, top10p_weight=0.06261, time=1.63
iter=14, top10p_weight=0.06974, time=1.65
iter=15, top10p_weight=0.0458, time=1.62
iter=16, top10p_weight=0.05353, time=1.62
iter=17, top10p_weight=0.04242, time=1.63
iter=18, top10p_weight=0.06054, time=1.65
iter=19, top10p_weight=0.06366, time=1.66
iter=20, top10p_weight=0.05571, time=1.65
iter=21, top10p_weight=0.05941, time=1.65
iter=22, top10p_weight=0.06226, time=1.64
iter=23, top10p_weight=0.07547, time=1.56
iter=24, top10p_weight=0.04858, time=1.54
iter=25, top10p_weight=0.06444, time=1.66
iter=26, top10p_weight=0.05607, time=1.55
iter=27, top10p_weight=0.05343, time=1.63
iter=28, top10p_weight=0.04376, time=1.63
iter=29, top10p_weight=0.03751, time=1.75
iter=30, top10p_weight=0.06038, time=1.75
iter=31, top10p_weight=0.05161, time=1.65
iter=32, top10p_weight=0.06171, time=1.64
iter=33, top10p_weight=0.0427, time=1.77
iter=34, top10p_weight=0.05926, time=1.75
iter=35, top10p_weight=0.03101, time=1.76
iter=36, top10p_weight=0.05207, time=1.85
iter=37, top10p_weight=0.05596, time=1.89
iter=38, top10p_weight=0.09379, time=2.06
iter=39, top10p_weight=0.0873, time=2.38
iter=40, top10p_weight=0.04988, time=2.37
iter=41, top10p_weight=0.01831, time=2.47
iter=42, top10p_weight=0.01238, time=2.6
iter=43, top10p_weight=0.005734, time=2.45
iter=44, top10p_weight=0.004518, time=2.57
iter=45, top10p_weight=0.00624, time=2.58
iter=46, top10p_weight=0.009701, time=2.5
iter=47, top10p_weight=0.01031, time=2.46
iter=48, top10p_weight=0.02435, time=2.5
iter=49, top10p_weight=0.03148, time=2.49
iter=50, top10p_weight=0.07538, time=2.52
iter=51, top10p_weight=0.08548, time=2.7
iter=52, top10p_weight=0.09053, time=2.72
iter=53, top10p_weight=0.06999, time=2.6
iter=54, top10p_weight=0.08066, time=2.68
iter=55, top10p_weight=0.07436, time=2.6
iter=56, top10p_weight=0.06128, time=2.59
iter=57, top10p_weight=0.05504, time=2.73
iter=58, top10p_weight=0.05177, time=2.63
iter=59, top10p_weight=0.08507, time=2.96
iter=60, top10p_weight=0.07999, time=2.7
iter=61, top10p_weight=0.08766, time=2.67
iter=62, top10p_weight=0.08649, time=2.97
iter=63, top10p_weight=0.09084, time=2.65
iter=64, top10p_weight=0.08505, time=2.62
iter=65, top10p_weight=0.08625, time=2.65
iter=66, top10p_weight=0.07454, time=2.8
iter=67, top10p_weight=0.09803, time=2.51
iter=68, top10p_weight=0.07803, time=2.89
iter=69, top10p_weight=0.08891, time=2.63
iter=70, top10p_weight=0.08703, time=2.76
iter=71, top10p_weight=0.07951, time=2.63
iter=72, top10p_weight=0.08052, time=2.7
iter=73, top10p_weight=0.05315, time=2.57
iter=74, top10p_weight=0.02923, time=2.95
iter=75, top10p_weight=0.01521, time=2.72
iter=76, top10p_weight=0.008573, time=3.15
iter=77, top10p_weight=0.00669, time=2.77
iter=78, top10p_weight=0.004351, time=2.88
iter=79, top10p_weight=0.003772, time=3.07
iter=80, top10p_weight=0.003728, time=2.53
iter=81, top10p_weight=0.00605, time=3.15
iter=82, top10p_weight=0.005798, time=2.77
iter=83, top10p_weight=0.01781, time=2.42
iter=84, top10p_weight=0.02205, time=2.43
iter=85, top10p_weight=0.01591, time=2.4
iter=86, top10p_weight=0.05202, time=2.69
iter=87, top10p_weight=0.0365, time=2.37
iter=88, top10p_weight=0.05983, time=2.28
iter=89, top10p_weight=0.003258, time=2.33
iter=90, top10p_weight=0.09038, time=2.65
iter=91, top10p_weight=0.06954, time=2.55
iter=92, top10p_weight=0.07165, time=2.7
iter=93, top10p_weight=0.0917, time=2.45
