/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=0, top10p_weight=0.0477, time=1.85
iter=1, top10p_weight=0.05874, time=2.07
iter=2, top10p_weight=0.05693, time=2.23
iter=3, top10p_weight=0.05234, time=2.14
iter=4, top10p_weight=0.08034, time=2.13
iter=5, top10p_weight=0.05263, time=2.13
iter=6, top10p_weight=0.06114, time=2.13
iter=7, top10p_weight=0.06309, time=2.03
iter=8, top10p_weight=0.06182, time=2.04
iter=9, top10p_weight=0.04954, time=1.95
iter=10, top10p_weight=0.0699, time=1.95
iter=11, top10p_weight=0.061, time=1.83
iter=12, top10p_weight=0.03346, time=1.83
iter=13, top10p_weight=0.009225, time=1.83
iter=14, top10p_weight=0.0476, time=1.74
iter=15, top10p_weight=0.07536, time=1.74
iter=16, top10p_weight=0.06531, time=1.73
iter=17, top10p_weight=0.06902, time=1.73
iter=18, top10p_weight=0.07362, time=1.73
iter=19, top10p_weight=0.06905, time=1.75
iter=20, top10p_weight=0.07182, time=1.75
iter=21, top10p_weight=0.0693, time=1.73
iter=22, top10p_weight=0.05383, time=1.67
iter=23, top10p_weight=0.06819, time=1.73
iter=24, top10p_weight=0.06545, time=1.77
iter=25, top10p_weight=0.0642, time=1.65
iter=26, top10p_weight=0.05602, time=1.75
iter=27, top10p_weight=0.06373, time=1.67
iter=28, top10p_weight=0.04532, time=1.67
iter=29, top10p_weight=0.07219, time=1.76
iter=30, top10p_weight=0.05831, time=1.75
iter=31, top10p_weight=0.06405, time=1.65
iter=32, top10p_weight=0.05563, time=1.74
iter=33, top10p_weight=0.07094, time=1.85
iter=34, top10p_weight=0.05258, time=1.76
iter=35, top10p_weight=0.05754, time=1.68
iter=36, top10p_weight=0.07044, time=1.77
iter=37, top10p_weight=0.06327, time=1.77
iter=38, top10p_weight=0.05172, time=1.76
iter=39, top10p_weight=0.04825, time=1.77
iter=40, top10p_weight=0.06398, time=1.86
iter=41, top10p_weight=0.07816, time=1.98
iter=42, top10p_weight=0.07292, time=1.86
iter=43, top10p_weight=0.0631, time=1.97
iter=44, top10p_weight=0.07769, time=1.76
iter=45, top10p_weight=0.05562, time=1.85
iter=46, top10p_weight=0.06978, time=1.74
iter=47, top10p_weight=0.0511, time=1.82
iter=48, top10p_weight=0.06017, time=1.79
iter=49, top10p_weight=0.0632, time=1.75
iter=50, top10p_weight=0.05602, time=1.96
iter=51, top10p_weight=0.07092, time=1.8
iter=52, top10p_weight=0.06483, time=2.0
iter=53, top10p_weight=0.0653, time=2.24
iter=54, top10p_weight=0.0588, time=1.82
iter=55, top10p_weight=0.07549, time=1.83
iter=56, top10p_weight=0.07008, time=2.1
iter=57, top10p_weight=0.07375, time=1.9
iter=58, top10p_weight=0.07184, time=1.79
iter=59, top10p_weight=0.07315, time=2.03
iter=60, top10p_weight=0.06558, time=1.97
iter=61, top10p_weight=0.07242, time=1.91
iter=62, top10p_weight=0.07664, time=2.02
iter=63, top10p_weight=0.05979, time=1.98
iter=64, top10p_weight=0.05845, time=1.92
iter=65, top10p_weight=0.06941, time=1.83
iter=66, top10p_weight=0.06795, time=1.91
iter=67, top10p_weight=0.06064, time=2.15
iter=68, top10p_weight=0.04829, time=2.01
iter=69, top10p_weight=0.04767, time=1.97
iter=70, top10p_weight=0.06696, time=1.9
iter=71, top10p_weight=0.07658, time=2.03
iter=72, top10p_weight=0.07876, time=1.89
iter=73, top10p_weight=0.04724, time=2.02
iter=74, top10p_weight=0.06402, time=2.25
iter=75, top10p_weight=0.08175, time=2.23
iter=76, top10p_weight=0.07717, time=2.68
iter=77, top10p_weight=0.07756, time=2.74
iter=78, top10p_weight=0.07468, time=2.78
iter=79, top10p_weight=0.0779, time=2.57
iter=80, top10p_weight=0.06136, time=2.74
iter=81, top10p_weight=0.06456, time=2.86
iter=82, top10p_weight=0.0753, time=2.64
iter=83, top10p_weight=0.07671, time=2.81
iter=84, top10p_weight=0.0715, time=3.09
iter=85, top10p_weight=0.06056, time=3.2
iter=86, top10p_weight=0.07599, time=2.89
iter=87, top10p_weight=0.08575, time=3.58
iter=88, top10p_weight=0.07711, time=2.92
iter=89, top10p_weight=0.08957, time=2.85
iter=90, top10p_weight=0.07699, time=2.81
iter=91, top10p_weight=0.07965, time=2.92
iter=92, top10p_weight=0.07807, time=3.13
iter=93, top10p_weight=0.0772, time=2.95
iter=94, top10p_weight=0.08704, time=3.32
iter=95, top10p_weight=0.08908, time=3.5
iter=96, top10p_weight=0.04628, time=3.94
iter=97, top10p_weight=0.05802, time=3.74
iter=98, top10p_weight=0.05946, time=3.67
iter=99, top10p_weight=0.07013, time=3.83
iter=100, top10p_weight=0.06558, time=3.51
iter=101, top10p_weight=0.06956, time=3.72
iter=102, top10p_weight=0.07346, time=3.32
iter=103, top10p_weight=0.08113, time=3.52
iter=104, top10p_weight=0.06153, time=3.65
iter=105, top10p_weight=0.06557, time=3.48
iter=106, top10p_weight=0.07689, time=3.11
iter=107, top10p_weight=0.0686, time=3.18
iter=108, top10p_weight=0.06378, time=3.05
